2019/01/31 19:35:44 File name nextFiles: root, Is a dir: %!s(bool=true)
2019/01/31 19:35:44 File name nextFiles: run, Is a dir: %!s(bool=true)
2019/01/31 19:35:44 File name nextFiles: sbin, Is a dir: %!s(bool=false)
2019/01/31 19:35:44 File name nextFiles: srv, Is a dir: %!s(bool=true)
2019/01/31 19:35:44 File name nextFiles: swapfile, Is a dir: %!s(bool=false)
2019/01/31 19:35:44 File name nextFiles: sys, Is a dir: %!s(bool=true)
2019/01/31 19:35:45 File name nextFiles: tmp, Is a dir: %!s(bool=true)
2019/01/31 19:35:45 File name nextFiles: usr, Is a dir: %!s(bool=true)
2019/01/31 19:35:45 File name nextFiles: var, Is a dir: %!s(bool=true)
2019/01/31 19:35:46 File name nextFiles: usr, Is a dir: %!s(bool=true)
2019/01/31 19:35:46 File name nextFiles: tmp, Is a dir: %!s(bool=true)
2019/01/31 19:35:46 File name nextFiles: sys, Is a dir: %!s(bool=true)
2019/01/31 19:35:46 File name nextFiles: swapfile, Is a dir: %!s(bool=false)
2019/01/31 19:35:46 File name nextFiles: srv, Is a dir: %!s(bool=true)
2019/01/31 19:35:46 File name nextFiles: sbin, Is a dir: %!s(bool=false)
2019/01/31 19:35:46 File name nextFiles: run, Is a dir: %!s(bool=true)
2019/01/31 19:35:46 File name nextFiles: root, Is a dir: %!s(bool=true)
2019/01/31 19:35:46 File name nextFiles: proc, Is a dir: %!s(bool=true)
2019/01/31 19:35:46 File name nextFiles: opt, Is a dir: %!s(bool=true)
2019/01/31 19:35:47 File name nextFiles: mnt, Is a dir: %!s(bool=true)
2019/01/31 19:35:47 File name nextFiles: lost+found, Is a dir: %!s(bool=true)
2019/01/31 19:35:47 open /lost+found/: permission denied
2019/01/31 19:35:47 File name nextFiles: lib64, Is a dir: %!s(bool=false)
2019/01/31 19:35:47 File name nextFiles: lib, Is a dir: %!s(bool=false)
2019/01/31 19:35:47 File name nextFiles: home, Is a dir: %!s(bool=true)
2019/01/31 19:36:08 File name nextFiles: josh, Is a dir: %!s(bool=true)
2019/01/31 19:36:09 File name nextFiles: .$thumbs, Is a dir: %!s(bool=true)
2019/01/31 19:36:09 File name nextFiles: .ArchLabs-homepage, Is a dir: %!s(bool=true)
2019/01/31 19:36:09 File name nextFiles: .BOINC, Is a dir: %!s(bool=true)
2019/01/31 19:36:10 File name nextFiles: .BOINC Manager, Is a dir: %!s(bool=false)
2019/01/31 19:36:10 File name nextFiles: .ColorGrab, Is a dir: %!s(bool=true)
2019/01/31 19:36:10 File name nextFiles: .PlayOnLinux, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .Prison Architect, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .PyCharmCE2018.2, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .Xauthority, Is a dir: %!s(bool=false)
2019/01/31 19:36:11 File name nextFiles: .Xresources, Is a dir: %!s(bool=false)
2019/01/31 19:36:11 File name nextFiles: .adobe, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .android, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .appdata, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .atom, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .audacity-data, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .bash_history, Is a dir: %!s(bool=false)
2019/01/31 19:36:11 File name nextFiles: .bash_logout, Is a dir: %!s(bool=false)
2019/01/31 19:36:11 File name nextFiles: .bash_profile, Is a dir: %!s(bool=false)
2019/01/31 19:36:11 File name nextFiles: .bashrc, Is a dir: %!s(bool=false)
2019/01/31 19:36:11 File name nextFiles: .buildozer, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .cache, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .cargo, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .config, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .creepMiner, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .dmrc, Is a dir: %!s(bool=false)
2019/01/31 19:36:11 File name nextFiles: .docker, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .droidcam, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .eclipse, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .emacs.d, Is a dir: %!s(bool=true)
2019/01/31 19:36:11 File name nextFiles: .esd_auth, Is a dir: %!s(bool=false)
2019/01/31 19:36:11 File name nextFiles: .fehbg, Is a dir: %!s(bool=false)
2019/01/31 19:36:12 File name nextFiles: .flowblade, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .ghc, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .gitconfig, Is a dir: %!s(bool=false)
2019/01/31 19:36:12 File name nextFiles: .gitkraken, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .gnupg, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .gtkrc-2.0, Is a dir: %!s(bool=false)
2019/01/31 19:36:12 File name nextFiles: .hunter, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .hushlogin, Is a dir: %!s(bool=false)
2019/01/31 19:36:12 File name nextFiles: .icons, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .ipython, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .java, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .jupyter, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .keras, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .kivy, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .lesshst, Is a dir: %!s(bool=false)
2019/01/31 19:36:12 File name nextFiles: .limbo, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .local, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .macromedia, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .masterpdfeditor, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .minecraft, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .mono, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .mozilla, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .mplayer, Is a dir: %!s(bool=true)
2019/01/31 19:36:12 File name nextFiles: .node_repl_history, Is a dir: %!s(bool=false)
2019/01/31 19:36:12 File name nextFiles: .npm, Is a dir: %!s(bool=true)
